Profile-Img,Player,Position,TeamName,Age,Height,Weight,BirthPlace,PreviousClub
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Graham%2C%20Harrison-40117-8577.png?center=0.5%2C0.5&preset=player-profile-large,"Harrison
Graham",Hooker,Dolphins,22,177,83,"Lismore, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Marshall-King%2C%20Jeremy-24-8959.png?center=0.5%2C0.5&preset=player-profile-large,"Jeremy
Marshall-King",Hooker,Dolphins,28,186,83,"Whakatane, NZ",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Bromwich%2C%20Jesse-24-8926.png?center=0.5%2C0.5&preset=player-profile-large,"Jesse
Bromwich",Captain - Prop,Dolphins,35,194,114,"Auckland, NZ",Melbourne Storm
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Kerr%2C%20Josh-24-9254.png?center=0.5%2C0.5&preset=player-profile-large,"Josh
Kerr",Prop,Dolphins,28,197,112,"Brisbane, QLD",St. George Illawarra Dragons
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Bromwich%2C%20Kenny-24-9149.png?center=0.5%2C0.5&preset=player-profile-large,"Kenneath
Bromwich",2nd Row,Dolphins,32,183,105,"Auckland, NZ",Melbourne Storm
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Hubner%2C%20Lachlan-24-9640.png?center=0.5%2C0.5&preset=player-profile-large,"Lachlan
Hubner",Lock,Dolphins,24,180,95,"Rockhampton, QLD",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Nicholls%2C%20Mark-24-9116.png?center=0.5%2C0.5&preset=player-profile-large,"Mark
Nicholls",Prop,Dolphins,34,194,104,"Wagga Wagga, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Teague%2C%20Mason-24-8434.png?center=0.5%2C0.5&preset=player-profile-large,"Mason
Teague",Lock,Dolphins,,,,2,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Plath%2C%20Max-24-8664.png?center=0.5%2C0.5&preset=player-profile-large,"Max
Plath",Lock,Dolphins,22,178,87,"Brisbane, QLD",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Keeley%2C%20Oryn-24-8403.png?center=0.5%2C0.5&preset=player-profile-large,"Oryn
Keeley",2nd Row,Dolphins,21,187,98,"Gosford, NSW",Newcastle Knights
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Stone%2C%20Ray-24-9356.png?center=0.5%2C0.5&preset=player-profile-large,"Ray
Stone",Lock,Dolphins,27,180,95,"Moss Vale, NSW",Parramatta Eels
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/PangaiJunior%2C%20Tevita.png?center=0.5%2C0.5&preset=player-profile-large,"Tevita
Pangai Junior",Prop,Dolphins,28,190,117,"Sydney, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Flegler%2C%20Thomas-24-8859.png?center=0.5%2C0.5&preset=player-profile-large,"Thomas
Flegler",Prop,Dolphins,25,190,110,"Innisfail, QLD",Brisbane Broncos
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Gilbert%2C%20Thomas-24-8892.png?center=0.5%2C0.5&preset=player-profile-large,"Tom
Gilbert",Prop,Dolphins,24,185,100,"Brisbane, QLD",North Queensland Cowboys
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500031/SIMONSSON%2C%20Bailey%20NRL_2024_GP00012-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Bailey
Simonsson",Winger,Eels,26,188,97,"Mona Vale, NSW",Canberra Raiders
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500031/GUTHERSON%2CClint%20NRL_2024_GP00010-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Clinton
Gutherson",Captain - Fullback,Eels,29,190,96,"Mona Vale, NSW",Manly-Warringah Sea Eagles
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500031/ASI%2C%20Daejarn%20NRL_2024_GP00010-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Daejarn
Asi",Centre,Eels,24,186,97,"Christchurch, NZ",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500031/BROWN%2C%20Dylan%20NRL_2024_GP00017-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Dylan
Brown",Five-Eighth,Eels,24,183,85,"Auckland, NZ",-
